-0.03, 0.02, 0.07, 0.12, 0.16, 0.18, 0.20, 0.21, 0.22, 0.22, 0.23, 0.23, 0.24, 0.25, 0.26, 0.26, 0.27, 0.28, 0.29, 0.42, 0.28, 0.30, 0.36, 0.33, 0.37, 0.34, 0.34, 0.33, 0.36, 0.37, 0.36, 0.36, 0.38, 0.41, 0.40, 0.43, 0.45, 0.45, 0.38, 0.24, 0.08, 0.11, 0.12, 0.13, 0.17, 0.12, 0.13, 0.14, 0.15, 0.13, 0.11, 0.12, 0.10, 0.10, 0.09, 0.08, 0.08, 0.09, 0.07, 0.01
-0.04, -0.05, 0.02, 0.19, 0.31, 0.40, 0.53, 0.60, 0.99, 1.38, 1.41, 1.39, 1.37, 1.35, 1.34, 1.34, 1.34, 1.33, 1.33, 1.34, -0.28, -0.42, -0.72, -0.98, -0.56, 0.11, 0.64, 1.09, 1.08, 0.61, 0.38, 0.21, 0.28, 0.25, 0.28, 0.24, 0.24, 0.21, 0.32, 0.41, 0.12, -0.05, -0.13, -0.23, -0.35, -0.36, -0.27, -0.32, -0.39, -0.31, -0.30, -0.31, -0.28, -0.27, -0.28, -0.30, -0.30, -0.32, -0.34, -0.41
0.05, 0.14, 0.26, 0.39, 0.50, 0.59, 0.67, 0.77, 0.84, 0.90, 0.97, 1.09, 1.22, 1.28, 1.24, 1.22, 1.19, 1.17, 1.13, 1.10, -0.51, -0.61, -0.58, -0.49, -0.02, 0.17, 0.53, 0.71, 0.96, 1.18, 1.42, 1.37, 1.21, 0.98, 0.75, 0.72, 0.64, 0.70, 0.66, 0.88, -0.04, -0.13, -0.15, -0.11, -0.21, -0.23, -0.16, -0.16, -0.13, -0.21, -0.23, -0.24, -0.35, -0.37, -0.39, -0.39, -0.42, -0.40, -0.46, -0.47
0.06, 0.18, 0.34, 0.52, 0.62, 0.74, 0.84, 0.97, 1.09, 1.34, 1.48, 1.60, 1.62, 1.63, 1.63, 1.63, 1.63, 1.64, 1.65, 1.65, -0.49, -0.62, -0.60, -0.38, -0.04, 0.26, 0.48, 0.73, 1.05, 1.02, 0.97, 0.64, 0.45, 0.33, 0.26, 0.26, 0.21, 0.27, 0.26, 0.40, -0.01, -0.12, -0.16, -0.07, -0.18, -0.10, -0.14, -0.11, -0.10, -0.18, -0.17, -0.25, -0.28, -0.26, -0.26, -0.26, -0.29, -0.28, -0.29, -0.34
0.04, 0.15, 0.26, 0.46, 0.60, 0.76, 0.83, 1.00, 1.03, 1.35, 1.48, 1.64, 1.67, 1.69, 1.69, 1.69, 1.70, 1.71, 1.71, 1.71, -0.38, -0.61, -0.59, -0.56, 0.15, 0.30, 0.68, 0.80, 1.09, 1.27, 1.27, 1.07, 0.76, 0.64, 0.57, 0.62, 0.55, 0.57, 0.58, 0.72, 0.01, -0.09, -0.10, -0.07, -0.15, -0.14, -0.10, -0.19, -0.14, -0.28, -0.16, -0.26, -0.35, -0.34, -0.34, -0.33, -0.36, -0.36, -0.39, -0.42
0.08, 0.28, 0.58, 0.89, 1.04, 1.20, 1.31, 1.34, 1.46, 1.60, 1.79, 1.92, 1.94, 1.94, 1.92, 1.91, 1.90, 1.90, 1.88, 1.84, -0.57, -0.87, -0.93, -0.52, -0.05, 0.30, 0.47, 0.65, 0.81, 0.90, 0.87, 0.66, 0.42, 0.33, 0.26, 0.28, 0.28, 0.28, 0.30, 0.51, 0.02, -0.14, -0.12, -0.06, -0.15, 0.00, -0.08, -0.09, -0.14, -0.16, -0.16, -0.18, -0.17, -0.18, -0.17, -0.17, -0.18, -0.17, -0.18, -0.26
0.06, 0.17, 0.40, 0.73, 0.93, 1.13, 1.30, 1.46, 1.59, 1.79, 2.01, 2.19, 2.29, 2.31, 2.33, 2.33, 2.32, 2.32, 2.32, 2.31, -0.43, -0.69, -0.96, -0.80, -0.23, 0.17, 0.38, 0.57, 0.82, 1.09, 1.16, 0.94, 0.67, 0.49, 0.43, 0.44, 0.41, 0.44, 0.41, 0.53, 0.03, -0.01, -0.10, -0.06, -0.07, 0.01, 0.01, 0.02, -0.03, -0.01, -0.12, -0.06, -0.10, -0.11, -0.10, -0.08, -0.09, -0.09, -0.10, -0.12
0.13, 0.33, 0.60, 0.81, 1.00, 1.21, 1.34, 1.46, 1.68, 1.99, 2.20, 2.24, 2.23, 2.23, 2.22, 2.22, 2.21, 2.20, 2.19, 2.16, -0.53, -0.75, -0.84, -0.38, 0.25, 0.51, 0.76, 0.95, 1.41, 1.21, 1.00, 0.61, 0.55, 0.43, 0.50, 0.43, 0.45, 0.42, 0.53, 0.71, -0.05, -0.14, -0.16, -0.23, -0.19, -0.19, -0.12, -0.11, -0.04, -0.16, -0.14, -0.19, -0.18, -0.22, -0.18, -0.19, -0.18, -0.20, -0.21, -0.28
0.09, 0.23, 0.50, 0.79, 0.98, 1.21, 1.41, 1.53, 1.73, 2.12, 2.51, 2.61, 2.64, 2.64, 2.62, 2.61, 2.62, 2.61, 2.61, 2.59, -0.56, -0.73, -1.01, -0.83, -0.30, 0.12, 0.44, 0.70, 1.13, 1.13, 0.86, 0.49, 0.24, 0.16, 0.17, 0.11, 0.10, 0.03, 0.08, 0.15, -0.03, -0.12, -0.25, -0.24, -0.25, -0.17, -0.18, -0.13, -0.18, -0.20, -0.17, -0.27, -0.25, -0.27, -0.27, -0.26, -0.27, -0.32, -0.32, -0.38
0.17, 0.45, 0.79, 1.03, 1.26, 1.48, 1.57, 1.74, 1.97, 2.25, 2.39, 2.46, 2.49, 2.50, 2.51, 2.53, 2.54, 2.56, 2.58, 2.53, -0.68, -1.05, -0.96, -0.33, 0.34, 0.55, 0.88, 1.04, 1.32, 1.14, 1.05, 0.60, 0.51, 0.46, 0.53, 0.46, 0.49, 0.44, 0.47, 0.70, -0.01, -0.19, -0.13, -0.23, -0.16, -0.14, -0.13, -0.22, -0.20, -0.20, -0.22, -0.29, -0.29, -0.30, -0.27, -0.28, -0.27, -0.31, -0.29, -0.30
